grouping|degree_abbr|graduates|employed|avg_first_year_wage|full_time_denominator|full_time_employed|full_time_avg_first_year_wage
Arkansas|CP|6722|5132|19141|3566|1587|32144
Arkansas|TC|5026|3945|24888|2847|1633|34067
Arkansas|Assoc.|14413|11139|26698|7750|4533|38757
Arkansas|Adv.Cert.|38|26|48531|33|16|62156
Arkansas|Bacc.|25982|16523|32043|21562|10184|41183
Arkansas|Grad.Cert.|325|233|50765|254|140|59533
Arkansas|Mast.|10249|5411|50197|9390|4126|56175
Arkansas|Spec.Deg.|867|403|61147|778|302|64079
Arkansas|Ph.D./Ed.D.|578|244|63480|566|192|73530
Arkansas|M.D./J.D.|1283|768|67019|1263|634|75477
